movieId,title,genres
120510,Value for Money (1955),Comedy|Romance
212955,Face of Evil (1996),Drama|Thriller
193912,Spring 1941 (2007),Drama|Romance|War
163921,Wolf Creek (2016),Crime|Horror|Thriller
126652,Raven the Little Rascal (2012),Animation|Children
114854,Nicky's Family (2011),Documentary
242908,The Seventh Day (2021),Horror
171513,Crash! (1976),Horror
194492,Fighting the Sky (2018),Sci-Fi
201512,Devlin (1992),Action|Drama
1194,Cheech and Chong's Up in Smoke (1978),Comedy
248550,Fantail (2013),(no genres listed)
92029,Westbound (1959),Western
151611,Addicted to Sexting (2015),Documentary
148797,Ginger & Cinnamon (2003),Comedy|Drama|Romance
107147,Last Winter (L'hiver dernier) (2011),Drama
199035,Blood Money (2017),Drama|Thriller
139801,The Skulls III (2004),Thriller
27685,Bring It On Again (2004),Comedy
154266,Critique de la séparation (1961),(no genres listed)
102411,Hurt (2009),Drama|Horror|Thriller
79580,"Yank in the R.A.F., A (1941)",Action|Adventure|Drama|Romance|War
159209,Amongst White Clouds (2005),Documentary
174069,No One Will Play with Me (1976),Drama
177169,Men in the City (2013),Comedy|Romance
215399,Cat on a Hot Tin Roof (1984),Drama
152858,Flyin' Ryan (2003),Children
273653,Agent Game (2022),Action|Thriller
210311,Naked Weekend (1974),Comedy
60544,Manslaughter (Drabet) (2005),Drama
222433,Love on a Diet (2001),Comedy|Drama|Romance
129745,Five to One (1963),Crime
188591,Death and the Compass (1992),Crime|Drama|Thriller
66389,AmericanEast (2008),Drama
198781,Uri: The Surgical Strike (2019),Action|Drama
182441,Rush: Time Stand Still (2016),Documentary
168958,Sex in the Comix (2012),Documentary
287239,I'd Love to Take Orders from You (1936),Animation
180641,Hers to Hold (1943),Drama
215815,Strongman Ferdinand (1976),Drama
211890,Get Out and Get Under (1920),Comedy
235059,Gabe the Cupid Dog (2012),Children|Comedy
212931,Keys to the Heart (2018),Comedy|Drama
59016,Street Kings (2008),Crime|Drama|Thriller
130942,Cool it Carol (1972),Comedy
169954,Prohibition (2011),Documentary
198817,Payday (2018),Action|Drama|Mystery|Thriller
144584,Murderer (2009),Crime|Drama|Mystery|Thriller
27378,Long Time Dead (2002),Horror|Thriller
93725,"Skin Too Few: The Days of Nick Drake, A (2002)",Documentary
7491,"Naked Prey, The (1966)",Adventure
170993,Mini's First Time (2006),Comedy|Crime|Drama
378,Speechless (1994),Comedy|Romance
242478,A Day in the Life of America (2019),Documentary
174397,The Worm Eaters (1977),Comedy|Horror
73744,If You Love (Jos rakastat) (2010),Drama|Musical|Romance
157553,Arrambam (2013),Action|Drama|Thriller
207407,Ice Twisters (2009),Action|Sci-Fi
190205,Road (1987),Comedy|Drama
135787,Bruce Lee: A Warrior's Journey (2000),Documentary
123534,Hercules in the Maze of the Minotaur (1994),Action|Adventure|Fantasy
206809,Our House (2017),Mystery
143128,Mrs. Santa Claus (1996),Children|Fantasy
121430,The Horsemen (1971),Action|Adventure|Drama
86500,Service (Serbis) (2008),Drama
235021,Exterior/Night (2018),Adventure|Drama
261503,"About Vitya, Masha, and Marines (1973)",Adventure|Children
215919,Kalki (2019),Action|Crime|Thriller
218075,How the Cossacks Became Olympians (1978),Adventure|Animation|Comedy
70088,Jonathan Livingston Seagull (1973),Drama
4309,Petits Freres (Petits Frères) (1999),Drama
160748,Cowboy Canteen (1944),War|Western
270378,Zero Fucks Given (2022),Comedy|Drama
158986,Criminal Court (1946),Crime|Drama
44255,Story of a Love Affair (Cronaca di un amore) (1950),Crime|Drama|Romance
8545,Plain Dirty (a.k.a. Briar Patch) (2003),Drama|Romance
138364,Una donna per la vita (2012),Comedy
186277,Solsidan (2017),Comedy
249694,So Much for So Little (1949),Animation|Children|Comedy
6384,Love the Hard Way (2001),Crime|Drama|Romance
