movieId,title,genres,top_actors
120510,Value for Money (1955),Comedy|Romance,"John Gregson, Diana Dors, Susan Stephen, Derek Farr, Joan Hickson"
212955,Face of Evil (1996),Drama|Thriller,"Tracey Gold, Perry King, Shawnee Smith, Don Harvey, Brigitta Dau"
193912,Spring 1941 (2007),Drama|Romance|War,"Mirosław Baka, Joseph Fiennes, Clare Higgins, Kelly Harrison, Neve McIntosh"
163921,Wolf Creek (2016),Crime|Horror|Thriller,
126652,Raven the Little Rascal (2012),Animation|Children,"Anna Thalbach, Katharina Thalbach, Jan Delay, Constantin von Jascheroff, Santiago Ziesmer"
114854,Nicky's Family (2011),Documentary,"Nicholas Winton, Jana Kepková, Klára Issová, Emma Tarageľová, Ben Abeles"
242908,The Seventh Day (2021),Horror,"Guy Pearce, Vadhir Derbez, Stephen Lang, Brady Jenness, Robin Bartlett"
171513,Crash! (1976),Horror,"José Ferrer, Sue Lyon, John Ericson, Leslie Parrish, John Carradine"
194492,Fighting the Sky (2018),Sci-Fi,"Angela Cole, Roger Conners, Jinette Faraj, Judith A. Faraj, Alison Headrick"
201512,Devlin (1992),Action|Drama,"Bryan Brown, Roma Downey, Lloyd Bridges, Whip Hubley, Lawrence Dane"
1194,Cheech and Chong's Up in Smoke (1978),Comedy,"Cheech Marin, Tommy Chong, Tom Skerritt, Edie Adams, Strother Martin"
248550,Fantail (2013),(no genres listed),"Sophie Henderson, Stephen Lovatt, Jarod Rawiri, Jahalis Ngamotu, Vinnie Bennett"
92029,Westbound (1959),Western,"Randolph Scott, Virginia Mayo, Karen Steele, Michael Dante, Andrew Duggan"
151611,Addicted to Sexting (2015),Documentary,"Lisa Ann, Paul D'Angelo, Nina Hartley, Amie Harwick, Charlotte Laws"
148797,Ginger & Cinnamon (2003),Comedy|Drama|Romance,"Stefania Montorsi, Giampaolo Morelli, Martina Merlino, Alberto Cucca, Marco Piras"
107147,Last Winter (L'hiver dernier) (2011),Drama,"Vincent Rottiers, Anaïs Demoustier, Florence Loiret Caille, Michel Subor, Carlo Brandt"
199035,Blood Money (2017),Drama|Thriller,"John Cusack, Willa Fitzgerald, Ellar Coltrane, Jacob Artist, Ned Bellamy"
139801,The Skulls III (2004),Thriller,"Clare Kramer, Barry Bostwick, Steve Braun, Maria del Mar, Len Cariou"
27685,Bring It On Again (2004),Comedy,"Anne Judson-Yager, Bree Turner, Kevin Cooney, Faune Chambers Watkins, Bryce Johnson"
154266,Critique de la séparation (1961),(no genres listed),"Caroline Rittener, Guy Debord"
102411,Hurt (2009),Drama|Horror|Thriller,"Melora Walters, William Mapother, Johanna Braddy, Sofia Vassilieva, Jackson Rathbone"
79580,"Yank in the R.A.F., A (1941)",Action|Adventure|Drama|Romance|War,"Tyrone Power, Betty Grable, John Sutton, Reginald Gardiner, Donald Stuart"
159209,Amongst White Clouds (2005),Documentary,
174069,No One Will Play with Me (1976),Drama,
177169,Men in the City (2013),Comedy|Romance,"Katja Herbers, Daan Schuurmans, Barry Atsma, Hadewych Minis, Georgina Verbaan"
215399,Cat on a Hot Tin Roof (1984),Drama,"Jessica Lange, Tommy Lee Jones, Rip Torn, Kim Stanley, Penny Fuller"
152858,Flyin' Ryan (2003),Children,"Andy Weiss, Connor Synder, Geneve Rupert, Chris McGurrin, Damon Schoeffler"
273653,Agent Game (2022),Action|Thriller,"Mel Gibson, Dermot Mulroney, Adan Canto, Katie Cassidy, Jason Isaacs"
210311,Naked Weekend (1974),Comedy,"Lina Morgan, Alfredo Landa, Máximo Valverde, Haydée Balza, Antonio Ozores"
60544,Manslaughter (Drabet) (2005),Drama,"Jesper Christensen, Pernilla August, Charlotte Fich, Beate Bille, Vibeke Hastrup"
222433,Love on a Diet (2001),Comedy|Drama|Romance,"Andy Lau Tak-Wah, Sammi Cheng, Wong Tin-Lam, Lam Suet, Rikiya Kurokawa"
129745,Five to One (1963),Crime,"Lee Montague, Ingrid Hafner, John Thaw, Jack Watson, Julian Holloway"
188591,Death and the Compass (1992),Crime|Drama|Thriller,"Peter Boyle, Miguel Sandoval, Christopher Eccleston, Zaide Silvia Gutiérrez, Pedro Armendáriz Jr."
66389,AmericanEast (2008),Drama,"Sayed Badreya, Tony Shalhoub, Kais Nashef, Sarah Shahi, Erick Avari"
198781,Uri: The Surgical Strike (2019),Action|Drama,"Vicky Kaushal, Paresh Rawal, Yami Gautam, Kirti Kulhari, Mohit Raina"
182441,Rush: Time Stand Still (2016),Documentary,"Geddy Lee, Alex Lifeson, Neil Peart, Paul Rudd"
168958,Sex in the Comix (2012),Documentary,"Molly Crabapple, Robert Crumb, Bernard Joubert, Aline Kominsky, Ralf König"
287239,I'd Love to Take Orders from You (1936),Animation,Elmore Vincent
180641,Hers to Hold (1943),Drama,"Deanna Durbin, Joseph Cotten, Charles Winninger, Ludwig Stössel, Nella Walker"
215815,Strongman Ferdinand (1976),Drama,"Heinz Schubert, Vérénice Rudolph, Joachim Hackethal, Gert Günther Hoffmann, Siegfried Wischnewski"
211890,Get Out and Get Under (1920),Comedy,"Harold Lloyd, Mildred Davis, Fred McPherson, William Gillespie, Charles Stevenson"
235059,Gabe the Cupid Dog (2012),Children|Comedy,"Brian Krause, Boti Bliss, Linden Ashby, Michael Woods, Barbara Niven"
212931,Keys to the Heart (2018),Comedy|Drama,"Lee Byung-hun, Youn Yuh-jung, Park Jeong-min, Han Ji-min, Kim Sung-ryung"
59016,Street Kings (2008),Crime|Drama|Thriller,"Keanu Reeves, Forest Whitaker, Chris Evans, Hugh Laurie, Naomie Harris"
130942,Cool it Carol (1972),Comedy,"Robin Askwith, Janet Lynn, Jess Conrad, Derek Aylward, Kenneth Hendel"
169954,Prohibition (2011),Documentary,
198817,Payday (2018),Action|Drama|Mystery|Thriller,"Bishop Stevens, Lara Jean Sullivan, Colton Wheeler, Derek Babb, Sophia Manyet"
144584,Murderer (2009),Crime|Drama|Mystery|Thriller,"Ben Whishaw, Alan Rickman, Rachel Hurd-Wood, Dustin Hoffman, John Hurt"
27378,Long Time Dead (2002),Horror|Thriller,"Joe Absolom, Lara Belmont, Melanie Gutteridge, Lukas Haas, James Hillier"
93725,"Skin Too Few: The Days of Nick Drake, A (2002)",Documentary,"Nick Drake, Gabrielle Drake, Molly Drake"
7491,"Naked Prey, The (1966)",Adventure,"Cornel Wilde, Gert Van den Bergh, Ken Gampu, Patrick Mynhardt, Bella Randles"
170993,Mini's First Time (2006),Comedy|Crime|Drama,"Alec Baldwin, Nikki Reed, Jeff Goldblum, Luke Wilson, Joe Egender"
378,Speechless (1994),Comedy|Romance,"Michael Keaton, Geena Davis, Bonnie Bedelia, Christopher Reeve, Ernie Hudson"
242478,A Day in the Life of America (2019),Documentary,
174397,The Worm Eaters (1977),Comedy|Horror,"Herb Robins, Barry Hostetler, Lindsay Armstrong Black, Mike Garrison, Joseph Sacket"
