age,workclass,education,educationno,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native,criminal
39,5,9,13,4,0,1,4,1,2174,0,40.0,37,0
50,4,9,13,2,3,0,4,1,0,0,13.0,37,0
38,2,11,9,0,5,1,4,1,0,0,40.0,37,0
53,2,1,7,2,5,0,2,1,0,0,40.0,37,0
28,2,9,13,2,9,5,2,0,0,0,40.0,4,0
37,2,12,14,2,3,5,4,0,0,0,40.0,37,0
49,2,6,5,3,7,1,2,0,0,0,16.0,21,0
52,4,11,9,2,3,0,4,1,0,0,45.0,37,1
31,2,12,14,4,9,1,4,0,14084,0,50.0,37,1
42,2,9,13,2,3,0,4,1,5178,0,40.0,37,1
37,2,15,10,2,3,0,2,1,0,0,80.0,37,1
30,5,9,13,2,9,0,1,1,0,0,40.0,17,1
23,2,9,13,4,0,3,4,0,0,0,30.0,37,0
32,2,7,12,4,11,1,2,1,0,0,50.0,37,0
34,2,5,4,2,13,0,0,1,0,0,45.0,24,0
25,4,11,9,4,4,3,4,1,0,0,35.0,37,0
32,2,11,9,4,6,4,4,1,0,0,40.0,37,0
38,2,1,7,2,11,0,4,1,0,0,50.0,37,0
43,4,12,14,0,3,4,4,0,0,0,45.0,37,1
40,2,10,16,2,9,0,4,1,0,0,60.0,37,1
54,2,11,9,5,7,4,2,0,0,0,20.0,37,0
35,0,6,5,2,4,0,2,1,0,0,40.0,37,0
43,2,1,7,2,13,0,4,1,0,2042,40.0,37,0
59,2,11,9,0,12,4,4,0,0,0,40.0,37,0
56,1,9,13,2,12,0,4,1,0,0,40.0,37,1
19,2,11,9,4,2,3,4,1,0,0,40.0,37,0
39,2,11,9,0,3,1,4,1,0,0,80.0,37,0
49,2,11,9,2,2,0,4,1,0,0,40.0,37,0
23,1,7,12,4,10,1,4,1,0,0,52.0,37,0
20,2,15,10,4,11,3,2,1,0,0,44.0,37,0
45,2,9,13,0,3,3,4,1,0,1408,40.0,37,0
30,0,15,10,2,0,3,4,1,0,0,40.0,37,0
22,5,15,10,2,7,0,2,1,0,0,15.0,37,0
48,2,1,7,4,6,4,4,1,0,0,40.0,31,0
21,2,15,10,4,6,3,4,1,0,0,40.0,37,0
19,2,11,9,1,0,5,4,0,0,0,25.0,37,0
48,4,7,12,2,9,0,4,1,0,0,40.0,37,0
31,2,6,5,2,6,0,4,1,0,0,43.0,37,0
53,4,9,13,2,9,0,4,1,0,0,40.0,37,0
24,2,9,13,2,12,0,4,1,0,0,40.0,37,0
49,2,11,9,5,0,4,4,0,0,0,40.0,37,0
25,2,11,9,4,5,1,4,1,0,0,35.0,37,0
57,0,9,13,2,9,0,2,1,0,0,40.0,37,1
53,2,11,9,2,6,0,4,1,0,0,38.0,37,0
44,2,12,14,0,3,4,4,0,0,0,40.0,37,0
41,5,8,11,2,2,0,4,1,0,0,40.0,37,0
29,2,8,11,4,9,1,4,1,0,0,43.0,37,0
25,2,15,10,2,3,5,4,1,0,0,40.0,37,0
47,2,14,15,2,9,5,4,0,0,1902,60.0,14,1
50,0,9,13,0,3,1,4,1,0,0,55.0,37,1
47,3,11,9,0,3,1,4,1,0,0,60.0,37,0
43,2,15,10,2,12,0,4,1,0,0,40.0,37,1
46,2,4,3,2,6,0,4,1,0,0,40.0,24,0
35,2,8,11,2,7,0,4,1,0,0,40.0,31,0
41,2,11,9,2,0,0,4,1,0,0,48.0,37,0
30,2,11,9,2,6,0,4,1,5013,0,40.0,37,0
30,2,9,13,2,11,0,4,1,2407,0,40.0,37,0
48,2,11,9,2,13,0,4,1,0,0,40.0,37,0
42,2,10,16,2,9,0,4,1,0,0,45.0,37,1
29,2,15,10,0,12,1,4,1,0,0,58.0,37,0
36,2,11,9,2,2,0,4,1,0,0,40.0,37,0
28,2,15,10,0,0,1,4,0,0,0,40.0,37,0
53,2,11,9,2,0,5,4,0,0,0,40.0,37,1
49,3,15,10,2,3,0,4,1,0,0,50.0,37,1
19,2,15,10,4,9,3,4,1,0,0,32.0,37,0
31,2,9,13,5,11,3,2,0,0,0,40.0,37,0
29,4,9,13,2,11,0,4,1,0,0,70.0,37,1
23,2,15,10,4,6,1,4,1,0,0,40.0,37,0
79,2,15,10,2,9,2,4,1,0,0,20.0,37,0
27,2,11,9,4,7,3,4,1,0,0,40.0,24,0
40,2,7,12,2,0,0,4,1,0,0,40.0,37,0
18,2,1,7,4,7,3,4,0,0,0,22.0,37,0
31,1,5,4,2,4,0,4,1,0,0,40.0,37,0
18,2,11,9,4,11,1,4,1,0,0,30.0,37,0
52,2,9,13,2,7,0,4,1,0,0,40.0,4,0
46,2,11,9,2,7,5,4,0,0,0,40.0,37,0
59,2,11,9,2,11,0,4,1,0,0,48.0,37,0
44,2,11,9,0,2,1,4,0,14344,0,40.0,37,1
53,2,11,9,0,11,3,4,0,0,0,35.0,37,0
49,1,11,9,2,10,0,4,1,0,0,40.0,37,1
33,2,12,14,2,9,0,4,1,0,0,50.0,37,0
30,2,6,5,4,11,1,4,1,0,0,40.0,37,0
43,0,10,16,4,9,1,4,0,0,0,50.0,37,1
57,2,8,11,2,9,0,4,1,0,0,40.0,37,0
37,2,15,10,0,2,4,4,0,0,0,40.0,37,0
28,2,15,10,0,6,4,2,0,0,0,25.0,37,0
34,1,9,13,2,10,0,4,1,0,0,40.0,37,1
29,1,15,10,4,5,1,4,1,0,0,50.0,37,0
48,4,10,16,2,9,0,4,1,0,1902,60.0,37,1
37,2,15,10,2,11,0,4,1,0,0,48.0,37,1
48,2,7,12,0,3,4,4,0,0,0,40.0,8,0
32,0,11,9,4,7,3,2,1,0,0,40.0,37,0
76,2,12,14,2,3,0,4,1,0,0,40.0,37,1
44,2,9,13,2,3,0,4,1,15024,0,60.0,37,1
47,4,12,14,4,9,1,4,0,0,0,50.0,37,0
20,2,15,10,4,12,3,4,0,0,0,40.0,37,0
29,2,11,9,4,2,1,4,1,0,0,40.0,37,0
32,3,11,9,2,2,0,4,1,7688,0,40.0,37,1
30,2,1,7,4,5,3,4,1,0,0,40.0,37,0
31,1,11,9,2,0,1,4,0,0,0,40.0,37,0
42,2,11,9,2,5,0,4,1,0,0,40.0,37,0
24,2,9,13,4,11,2,4,1,0,0,40.0,37,0
38,2,14,15,2,9,0,4,1,0,0,40.0,37,1
56,4,11,9,2,7,0,4,1,0,1887,50.0,1,1
28,2,15,10,2,11,5,4,0,4064,0,25.0,37,0
36,2,11,9,4,6,3,4,0,0,0,40.0,37,0
53,2,6,5,2,5,0,4,1,0,0,50.0,37,0
56,3,15,10,2,11,0,4,1,0,0,50.0,37,0
49,1,8,11,2,2,0,2,1,0,0,40.0,37,1
55,2,15,10,2,11,0,4,1,0,0,56.0,37,0
22,2,11,9,4,2,1,4,1,0,0,41.0,37,0
21,2,15,10,4,7,3,4,0,0,0,40.0,37,0
40,2,9,13,2,3,0,4,1,0,0,60.0,37,0
30,2,9,13,4,3,3,2,1,0,0,40.0,10,0
29,5,9,13,2,9,0,4,1,0,0,50.0,37,1
19,2,15,10,4,7,3,2,1,0,0,35.0,37,0
47,2,9,13,2,3,5,4,0,0,0,40.0,37,1
20,2,15,10,4,0,3,4,0,0,1719,28.0,37,0
31,2,7,12,2,0,0,4,1,0,0,40.0,37,1
39,2,15,10,0,2,1,4,1,0,0,40.0,37,0
28,2,7,12,4,11,1,4,0,0,0,60.0,37,0
24,2,11,9,4,7,1,4,0,0,1762,40.0,37,0
38,4,11,9,2,2,0,4,1,4386,0,35.0,37,0
37,2,9,13,2,11,0,4,1,0,0,50.0,37,0
46,2,7,12,0,12,1,2,0,0,0,36.0,37,0
38,0,12,14,2,9,0,4,1,0,0,40.0,18,1
43,4,11,9,2,2,0,4,1,0,0,60.0,37,0
27,2,8,11,2,0,5,4,0,0,0,35.0,37,0
20,2,15,10,4,11,3,4,1,0,0,20.0,37,0
49,2,15,10,2,2,0,1,1,0,0,40.0,37,1
61,3,11,9,2,2,0,4,1,0,0,40.0,37,0
27,2,15,10,4,11,3,4,0,0,0,40.0,37,0
19,2,15,10,4,7,3,4,1,0,0,30.0,24,0
45,2,8,11,4,9,1,4,0,0,1564,40.0,37,1
70,2,15,10,4,12,2,4,1,0,0,40.0,37,0
31,2,11,9,4,13,4,2,0,0,0,30.0,37,0
22,2,15,10,2,7,0,4,1,0,0,24.0,37,0
36,2,11,9,6,7,4,4,0,0,0,24.0,37,0
64,2,1,7,2,2,0,4,1,0,2179,40.0,37,0
47,1,15,10,0,0,4,4,0,0,0,38.0,24,0
34,2,11,9,4,0,1,4,0,0,0,40.0,37,0
33,2,9,13,4,3,2,1,0,0,0,40.0,28,0
21,2,11,9,4,2,3,4,1,0,0,35.0,37,0
48,2,11,9,2,2,0,4,1,0,0,46.0,37,0
23,2,9,13,4,5,1,4,1,0,0,40.0,37,0
71,4,15,10,5,11,4,2,1,0,1816,2.0,37,0
29,2,11,9,0,2,1,4,1,0,0,60.0,37,0
42,2,9,13,5,7,2,2,1,0,0,50.0,37,0
25,2,11,9,4,7,4,4,0,0,0,40.0,37,0
44,3,12,14,0,3,4,1,0,0,0,40.0,37,0
28,2,11,9,4,3,1,1,0,0,0,40.0,8,0
45,4,12,14,2,11,0,4,1,0,0,40.0,37,1
36,2,15,10,0,7,4,4,0,0,0,40.0,24,0
